176.0 # Collector Th aperture in m2
900.139329284215 # Source power emitted by m2
100000 # Rays emitted per sun position
# phi theta efficiency_from_source_Th
0.000 0.000 0.823886
0.000 5.000 0.827742
0.000 10.000 0.837353
0.000 15.000 0.816746
0.000 20.000 0.809257
0.000 25.000 0.800183
0.000 30.000 0.787083
0.000 35.000 0.786734
0.000 40.000 0.771718
0.000 45.000 0.749819
0.000 50.000 0.706626
0.000 55.000 0.636084
0.000 60.000 0.555121
0.000 65.000 0.468123
0.000 70.000 0.370469
0.000 75.000 0.272312
0.000 80.000 0.171260
0.000 85.000 0.076630
0.000 90.000 0.020243
