# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.093914
302.000000 0.092906
304.000000 0.094973
306.000000 0.092897
308.000000 0.093838
310.000000 0.091542
312.000000 0.096728
314.000000 0.104702
316.000000 0.120082
318.000000 0.141372
320.000000 0.177784
322.000000 0.227244
324.000000 0.279091
326.000000 0.336270
328.000000 0.399719
330.000000 0.469302
332.000000 0.489296
334.000000 0.514167
336.000000 0.533437
338.000000 0.553895
340.000000 0.574878
342.000000 0.585222
344.000000 0.595609
346.000000 0.604504
348.000000 0.614815
350.000000 0.624358
352.000000 0.625942
354.000000 0.630703
356.000000 0.636102
358.000000 0.638859
360.000000 0.646822
362.000000 0.645485
364.000000 0.651810
366.000000 0.652175
368.000000 0.656604
370.000000 0.656183
372.000000 0.658655
374.000000 0.660974
376.000000 0.662184
378.000000 0.663396
380.000000 0.663767
382.000000 0.665915
384.000000 0.666562
386.000000 0.668013
388.000000 0.670846
390.000000 0.670723
392.000000 0.673002
394.000000 0.673983
396.000000 0.673009
398.000000 0.674544
400.000000 0.674835
