# #wavelength(nm) efficiency_Th_absorbed
420.000000 0.164014
440.000000 0.165037
460.000000 0.165986
480.000000 0.166397
500.000000 0.167200
520.000000 0.168010
540.000000 0.168026
560.000000 0.168196
580.000000 0.168219
600.000000 0.168919
620.000000 0.168955
640.000000 0.168991
660.000000 0.169032
680.000000 0.169009
700.000000 0.169253
720.000000 0.169227
740.000000 0.170370
760.000000 0.169184
780.000000 0.170355
800.000000 0.170798
820.000000 0.170251
840.000000 0.170096
860.000000 0.169454
880.000000 0.170025
900.000000 0.170104
920.000000 0.170421
940.000000 0.170035
960.000000 0.170010
980.000000 0.170911
1000.000000 0.170810
