# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.093816
302.000000 0.093582
304.000000 0.094688
306.000000 0.093903
308.000000 0.092611
310.000000 0.091779
312.000000 0.095965
314.000000 0.105019
316.000000 0.119730
318.000000 0.141434
320.000000 0.178216
322.000000 0.225781
324.000000 0.280137
326.000000 0.333237
328.000000 0.397618
330.000000 0.467828
332.000000 0.488483
334.000000 0.513118
336.000000 0.532243
338.000000 0.555766
340.000000 0.577538
342.000000 0.586893
344.000000 0.594684
346.000000 0.603772
348.000000 0.612426
350.000000 0.623215
352.000000 0.627490
354.000000 0.633033
356.000000 0.636668
358.000000 0.641365
360.000000 0.643435
362.000000 0.647083
364.000000 0.649404
366.000000 0.654182
368.000000 0.657226
370.000000 0.659679
372.000000 0.659682
374.000000 0.659255
376.000000 0.663664
378.000000 0.659506
380.000000 0.663815
382.000000 0.667393
384.000000 0.667585
386.000000 0.666275
388.000000 0.669130
390.000000 0.669780
392.000000 0.670659
394.000000 0.671900
396.000000 0.673962
398.000000 0.672860
400.000000 0.674872
