# #wavelength(nm) efficiency_Th_absorbed
300.000000 0.041798
302.000000 0.041748
304.000000 0.040981
306.000000 0.041304
308.000000 0.041417
310.000000 0.041515
312.000000 0.040618
314.000000 0.041311
316.000000 0.043165
318.000000 0.046486
320.000000 0.053516
322.000000 0.059869
324.000000 0.068227
326.000000 0.078593
328.000000 0.091292
330.000000 0.107697
332.000000 0.111559
334.000000 0.117903
336.000000 0.122333
338.000000 0.128397
340.000000 0.133992
342.000000 0.136460
344.000000 0.139254
346.000000 0.141584
348.000000 0.144469
350.000000 0.147049
352.000000 0.148711
354.000000 0.149880
356.000000 0.150697
358.000000 0.151788
360.000000 0.153449
362.000000 0.154662
364.000000 0.155407
366.000000 0.155653
368.000000 0.156528
370.000000 0.156702
372.000000 0.156756
374.000000 0.158168
376.000000 0.158507
378.000000 0.158692
380.000000 0.159454
382.000000 0.159917
384.000000 0.160258
386.000000 0.160450
388.000000 0.161556
390.000000 0.160821
392.000000 0.162024
394.000000 0.161589
396.000000 0.162133
398.000000 0.162551
400.000000 0.162387
